ROS Seconds,ROS Nanoseconds,X,Y,Z,Rx0,Rx1,Rx2,Ry0,Ry1,Ry2,Rz0,Rz1,Rz2
1685629176,471976133,-5.52149,17.8424,-135,-0.975073,0.194686,0.106443,-0.204116,-0.975139,-0.0862613,0.0870033,-0.105838,0.99057
1685629176,496974122,-5.72048,18.5078,-134.891,-0.974787,0.196869,0.105037,-0.205985,-0.974912,-0.0843654,0.0857931,-0.103874,0.990883
1685629176,521913307,-5.93744,19.108,-134.785,-0.974435,0.199333,0.103651,-0.208091,-0.974678,-0.0818639,0.0847082,-0.10134,0.991239
1685629176,546955060,-6.15953,19.7337,-134.648,-0.97417,0.201375,0.102183,-0.209756,-0.974543,-0.0791698,0.0836391,-0.0985583,0.991613
1685629176,571929347,-6.3369,20.3858,-134.566,-0.973962,0.20319,0.100555,-0.211245,-0.974381,-0.0771796,0.0822969,-0.0964118,0.991935
1685629176,597017062,-6.48163,20.9815,-134.475,-0.973799,0.204931,0.0985872,-0.212699,-0.97416,-0.0759672,0.0804716,-0.094946,0.992225
1685629176,621978843,-6.65982,21.5214,-134.351,-0.973522,0.207092,0.0967831,-0.214461,-0.973992,-0.0731156,0.0791243,-0.0919359,0.992616
1685629176,646885302,-6.81563,22.0791,-134.238,-0.973221,0.209229,0.0952062,-0.216235,-0.973804,-0.070338,0.0779955,-0.0890413,0.992969
1685629176,671906610,-7.00787,22.6984,-134.143,-0.972944,0.21121,0.0936488,-0.217923,-0.973571,-0.0683305,0.0767417,-0.08689,0.993257
1685629176,697007871,-7.24804,23.3038,-134.011,-0.972565,0.213551,0.0922617,-0.219948,-0.973294,-0.0657453,0.0757578,-0.0842344,0.993563
1685629176,721927093,-7.42855,23.8914,-133.958,-0.972268,0.215525,0.0907964,-0.221626,-0.973066,-0.063433,0.0746796,-0.0817966,0.993849
1685629176,746953777,-7.62366,24.435,-133.862,-0.971967,0.217543,0.0891932,-0.223333,-0.972832,-0.0609922,0.0735016,-0.0792022,0.994146
1685629176,771946913,-7.78308,24.9322,-133.802,-0.971695,0.219398,0.0875994,-0.224939,-0.972567,-0.0592867,0.072189,-0.0773132,0.99439
1685629176,796895706,-7.94965,25.4401,-133.73,-0.971416,0.221257,0.0860013,-0.226555,-0.972295,-0.0575802,0.0708786,-0.0754184,0.994631
1685629176,821947584,-8.14424,25.9554,-133.617,-0.971136,0.223066,0.0844782,-0.228097,-0.972061,-0.0553951,0.0697612,-0.0730654,0.994884
1685629176,846978933,-8.31992,26.3782,-133.507,-0.970838,0.225044,0.0826348,-0.229753,-0.971824,-0.0526446,0.0684591,-0.070095,0.995189
1685629176,871918164,-8.45587,26.8802,-133.454,-0.970534,0.226867,0.0812102,-0.23135,-0.971547,-0.0507376,0.0673888,-0.0680305,0.995405
1685629176,896912683,-8.55989,27.4405,-133.45,-0.97022,0.228681,0.0798664,-0.232988,-0.971221,-0.0494523,0.0662591,-0.0665876,0.995578
