ROS Seconds,ROS Nanoseconds,X,Y,Z,Rx0,Rx1,Rx2,Ry0,Ry1,Ry2,Rz0,Rz1,Rz2
1685105476,703309583,15.1657,12.9128,-189.203,-0.209828,-0.233776,-0.949379,0.148027,-0.967398,0.205497,-0.966468,-0.0974152,0.237592
1685105476,728196471,15.1731,12.9107,-189.204,-0.209739,-0.233773,-0.949399,0.147969,-0.967403,0.205517,-0.966495,-0.0973774,0.237491
1685105476,753222742,15.172,12.9044,-189.205,-0.209734,-0.233818,-0.94939,0.14792,-0.967398,0.205575,-0.966505,-0.0973174,0.237484
1685105476,778298641,15.1723,12.9019,-189.198,-0.209732,-0.233841,-0.949384,0.147893,-0.967395,0.205606,-0.966509,-0.0972854,0.237478
1685105476,803204089,15.1719,12.8984,-189.195,-0.209719,-0.233877,-0.949379,0.147877,-0.967389,0.205647,-0.966515,-0.0972629,0.237465
1685105476,828227957,15.1698,12.8983,-189.193,-0.209768,-0.233878,-0.949368,0.147883,-0.967389,0.205642,-0.966503,-0.0972581,0.237515
1685105476,852247047,15.1685,12.9018,-189.197,-0.209779,-0.233856,-0.949371,0.147839,-0.967399,0.205629,-0.966508,-0.0972169,0.237514
1685105476,877205397,15.1656,12.9087,-189.197,-0.209813,-0.233797,-0.949378,0.147828,-0.967413,0.205569,-0.966502,-0.0972138,0.237539
1685105476,902259242,15.1611,12.9057,-189.192,-0.20983,-0.233816,-0.94937,0.147703,-0.967422,0.205617,-0.966518,-0.0970795,0.237531
1685105476,927192466,15.1567,12.9045,-189.193,-0.209854,-0.233837,-0.949358,0.147693,-0.967419,0.205639,-0.966513,-0.09706,0.237551
1685105476,952252447,15.1564,12.9033,-189.189,-0.209878,-0.233862,-0.949347,0.147817,-0.967402,0.20563,-0.966489,-0.0971724,0.237605
1685105476,977249962,15.1524,12.9008,-189.187,-0.209905,-0.233892,-0.949333,0.147837,-0.967394,0.205654,-0.96648,-0.0971788,0.237637
1685105477,2230852,15.149,12.9024,-189.189,-0.209922,-0.233897,-0.949329,0.147823,-0.967395,0.20566,-0.966479,-0.0971596,0.237654
1685105477,27205286,15.1507,12.8993,-189.187,-0.209916,-0.233915,-0.949326,0.147885,-0.967384,0.205664,-0.966471,-0.0972186,0.237664
1685105477,52258882,15.1553,12.898,-189.19,-0.209874,-0.233929,-0.949332,0.147882,-0.967381,0.205684,-0.966481,-0.0972218,0.237623
1685105477,77196158,15.1565,12.8986,-189.19,-0.209844,-0.233921,-0.94934,0.147855,-0.967384,0.205685,-0.966491,-0.0972027,0.237587
1685105477,102177447,15.1479,12.9058,-189.188,-0.209978,-0.233849,-0.949329,0.148041,-0.967384,0.205552,-0.966434,-0.0973778,0.237751
